Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
17576697,07/04/2010 09:24:08 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11374,99-11 62 DRIVE,62 DRIVE,99 STREET,102 STREET,,,ADDRESS,REGO PARK,,N/A,Assigned,08/03/2010 09:24:08 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/08/2010 09:29:53 AM,06 QUEENS,QUEENS,1023792,206643,Unspecified,QUEENS,,,,,,,,40.733775571108325,-73.85732132668225,"(40.733775571108325, -73.85732132668225)"
49924537,03/03/2021 12:03:24 PM,03/03/2021 12:03:24 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11361,34-42 200 STREET,200 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,Bayside,200 STREET,,Closed,,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",03/03/2021 12:03:24 PM,11 QUEENS,QUEENS,1043159,218366,Unspecified,QUEENS,,,,,,,,40.7658443673236,-73.78733727250213,"(40.7658443673236, -73.78733727250213)"
39466100,06/14/2018 10:49:41 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,10036,1120 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST 43 STREET,WEST 44 STREET,WEST 43 STREET,WEST 44 STREET,ADDRESS,NEW YORK,,,In Progress,07/14/2018 10:49:41 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",06/15/2018 08:12:15 PM,05 MANHATTAN,MANHATTAN,988817,214581,Unspecified,MANHATTAN,,,,,,,,40.75565060441999,-73.98351557320764,"(40.75565060441999, -73.98351557320764)"
39505735,06/19/2018 05:45:35 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,10027,430 WEST 125 STREET,WEST 125 STREET,BEND,AMSTERDAM AVENUE,BEND,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,,In Progress,07/19/2018 05:45:35 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",06/21/2018 08:43:09 PM,09 MANHATTAN,MANHATTAN,996723,235054,Unspecified,MANHATTAN,,,,,,,,40.81183591406579,-73.95494113468926,"(40.81183591406579, -73.95494113468926)"
39529310,06/21/2018 09:04:21 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11375,102-15 63 AVENUE,63 AVENUE,102 STREET,YELLOWSTONE BOULEVARD,102 STREET,YELLOWSTONE BOULEVARD,ADDRESS,FOREST HILLS,,,In Progress,07/21/2018 09:04:21 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",06/21/2018 08:43:10 PM,06 QUEENS,QUEENS,1024496,206640,Unspecified,QUEENS,,,,,,,,40.73376416149376,-73.85478111895402,"(40.73376416149376, -73.85478111895402)"
39550869,06/24/2018 02:35:07 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10302,31 GALLOWAY AVENUE,GALLOWAY AVENUE,MARIANNE STREET,DEAD END,MARIANNE STREET,DEAD END,ADDRESS,STATEN ISLAND,,,In Progress,07/24/2018 02:35:07 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",06/26/2018 08:12:31 PM,01 STATEN ISLAND,STATEN ISLAND,945473,166177,Unspecified,STATEN ISLAND,,,,,,,,40.62270910059413,-74.13968550595001,"(40.62270910059413, -74.13968550595001)"
39727749,07/14/2018 09:26:33 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11415,84-36 BEVERLY ROAD,BEVERLY ROAD,LEFFERTS BOULEVARD,BREVOORT STREET,LEFFERTS BOULEVARD,BREVOORT STREET,ADDRESS,KEW GARDENS,,,In Progress,08/13/2018 09:26:33 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/16/2018 07:44:04 PM,09 QUEENS,QUEENS,1031354,197026,Unspecified,QUEENS,,,,,,,,40.707342234701294,-73.83010286686279,"(40.707342234701294, -73.83010286686279)"
39744577,07/17/2018 12:13:03 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,11237,395 LINDEN STREET,LINDEN STREET,WYCKOFF AVENUE,ST NICHOLAS AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,ADDRESS,BROOKLYN,,,In Progress,08/16/2018 12:13:03 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/23/2018 07:37:55 PM,04 BROOKLYN,BROOKLYN,1008591,194580,Unspecified,BROOKLYN,,,,,,,,40.70072044289293,-73.91221438824273,"(40.70072044289293, -73.91221438824273)"
40376776,09/25/2018 01:06:15 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10454,408 EAST 142 STREET,EAST 142 STREET,WILLIS AVENUE,BROOK AVENUE,WILLIS AVENUE,BROOK AVENUE,ADDRESS,BRONX,,,In Progress,10/25/2018 01:06:15 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/25/2018 07:37:58 PM,01 BRONX,BRONX,1006230,234923,Unspecified,BRONX,,,,,,,,40.81145781787435,-73.920597424428,"(40.81145781787435, -73.920597424428)"
39779594,07/19/2018 11:25:00 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11385,2120 GROVE STREET,GROVE STREET,BEND,FOREST AVENUE,BEND,FOREST AVENUE,ADDRESS,RIDGEWOOD,,,In Progress,08/18/2018 11:25:00 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/23/2018 07:37:56 PM,05 QUEENS,QUEENS,1010611,197584,Unspecified,QUEENS,,,,,,,,40.708959924029955,-73.90491752107512,"(40.708959924029955, -73.90491752107512)"
42610547,05/07/2019 10:31:49 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10305,37 SAINT MARYS AVENUE,SAINT MARYS AVENUE,ORMOND PLACE,ANDERSON STREET,ORMOND PLACE,ANDERSON STREET,ADDRESS,STATEN ISLAND,,,In Progress,06/06/2019 10:31:49 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",05/08/2019 09:33:30 PM,01 STATEN ISLAND,STATEN ISLAND,965123,163614,Unspecified,STATEN ISLAND,,,,,,,,40.6157384158692,-74.06889354036493,"(40.6157384158692, -74.06889354036493)"
42822597,05/30/2019 12:20:48 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11435,138-23 HOOVER AVENUE,HOOVER AVENUE,138 STREET,BEND,138 STREET,BEND,ADDRESS,JAMAICA,,,In Progress,06/29/2019 12:20:48 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,08 QUEENS,QUEENS,1034157,199589,Unspecified,QUEENS,,,,,,,,40.7143616801784,-73.81997389117835,"(40.7143616801784, -73.81997389117835)"
39786185,07/20/2018 06:16:09 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10312,533 GENESEE AVENUE,GENESEE AVENUE,LOVELACE AVENUE,ANNADALE ROAD,LOVELACE AVENUE,ANNADALE ROAD,ADDRESS,STATEN ISLAND,,,In Progress,08/19/2018 06:16:09 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/23/2018 07:37:57 PM,03 STATEN ISLAND,STATEN ISLAND,935564,140360,Unspecified,STATEN ISLAND,,,,,,,,40.551797813718295,-74.17519438623411,"(40.551797813718295, -74.17519438623411)"
